tomo_name,z_min,z_max,slice_0,slice_1,slice_2,slice_3,slice_4
20200523_BACHD_cortax_grid2_aquare10_tomo00072__bin4_mitochondria_with_large_granules.hdf,60,128,88,95,102,109,116
20200523_BACHD_cortax_grid2_aquare14_tomo00065__bin4_mitochondria_large_granules.hdf,15,125,48,61,74,87,100
20200523_BACHD_cortax_grid2_aquare14_tomo00066__bin4_mitochondria_with_large_granules.hdf,35,125,52,65,78,91,104
20200523_BACHD_cortax_grid2_aquare14_tomo00067__bin4_mitochondria_large_granules.hdf,15,75,40,44,48,52,56
20200523_BACHD_cortax_grid2_aquare16_tomo00060__bin4_mitochondria_with_large_granules.hdf,35,90,54,57,62,67,72
20200523_BACHD_cortax_grid2_aquare19_tomo00045__bin4_mitochondria_with_large_granules.hdf,35,120,56,67,78,89,100
20200523_BACHD_cortax_grid2_aquare19_tomo00046__bin4_mitochondria_with_large_granules.hdf,20,100,48,55,62,69,76
20200523_BACHD_cortax_grid2_aquare19_tomo00047__bin4_mitochondria_with_large_granules.hdf,15,125,40,51,62,73,84
20200523_BACHD_cortax_grid2_aquare1_tomo00022__bin4_mitochondria_with_large_granules.hdf,0,105,36,42,48,54,60
20200523_BACHD_cortax_grid2_aquare20_tomo00041__bin4_mitochondria_with_large_granules.hdf,10,115,36,45,54,63,72
20200523_BACHD_cortax_grid2_aquare20_tomo00042__bin4_mitochondria_with_large_granules.hdf,0,128,36,48,60,72,84
20200523_BACHD_cortax_grid2_aquare24_tomo00027__bin4_mitochondria_with_large_granules.hdf,25,128,52,68,84,100,116
20200523_BACHD_cortax_grid2_aquare24_tomo00029__bin4_mitochondria_with_large_greanules.hdf,40,128,70,82,94,106,118
20200523_BACHD_cortax_grid2_aquare24_tomo00030__bin4_mitochondria_with_large_granules.hdf,15,115,60,70,80,90,100
20200523_BACHD_cortax_grid2_aquare2_tomo00001__bin4_mitochondria_with_large_granules.hdf,30,128,56,68,80,92,104
20200523_BACHD_cortax_grid2_aquare2_tomo00012__bin4_mitochondria_with_large_granules_lysosome_with_hairball.hdf,20,110,46,55,64,73,82
20200523_BACHD_cortax_grid2_aquare2_tomo00013__bin4_mitochondria_with_big_granules_MVB.hdf,10,115,36,48,60,72,84
20200523_BACHD_cortax_grid2_aquare2_tomo00015__bin4_mitopchondria_with_large_granules.hdf,0,128,28,44,60,76,92
20200523_BACHD_cortax_grid2_aquare2_tomo00017__bin4_mitochondria_with_large_granules.hdf,35,110,58,65,72,79,86
20200523_BACHD_cortax_grid2_aquare2_tomo00018__bin4_mitochondria_with_large_granules_suround_with_ribosome.hdf,0,128,40,52,64,76,88
20200523_BACHD_cortax_grid2_aquare2_tomo00019__bin4_mitochondria_larege_granules.hdf,0,128,36,49,62,75,88
20200523_BACHD_cortax_grid2_aquare2_tomo00020__bin4_mitochondria_with_large_granules.hdf,0,115,2,23,44,65,86
