tomo_name,z_min,z_max,slice_0,slice_1,slice_2,slice_3,slice_4
20200606_Q18_iPSC_grid1_square11_tomo00006__bin4.hdf,25,128,75,88,101,114,127
20200606_Q18_iPSC_grid1_square11_tomo00007__bin4.hdf,5,110,24,38,52,66,80
20200606_Q18_iPSC_grid1_square11_tomo00010__bin4.hdf,20,115,40,52,64,76,88
20200606_Q18_iPSC_grid1_square11_tomo00012__bin4.hdf,35,128,78,88,98,108,118
20200606_Q18_iPSC_grid1_square11_tomo00015__bin4.hdf,40,128,67,82,97,112,127
20200606_Q18_iPSC_grid1_square11_tomo00016__bin4.hdf,40,128,83,94,105,116,127
20200606_Q18_iPSC_grid1_square17_tomo00001__bin4.hdf,10,105,28,42,56,70,84
20200606_Q18_iPSC_grid1_square17_tomo00002__bin4.hdf,40,128,67,82,97,112,127
20200606_Q18_iPSC_grid1_square17_tomo00003__bin4.hdf,45,120,70,79,88,97,106
20200606_Q18_iPSC_grid1_square17_tomo00005__bin4.hdf,40,128,64,76,88,100,112
20200606_Q18_iPSC_grid1_square18_tomo00038__bin4.hdf,40,128,66,77,88,99,110
20200606_Q18_iPSC_grid1_square18_tomo00040__bin4.hdf,15,128,40,58,76,94,112
20200606_Q18_iPSC_grid1_square18_tomo00041__bin4.hdf,5,110,36,46,56,66,76
20200606_Q18_iPSC_grid1_square18_tomo00043__bin4.hdf,0,128,20,38,56,74,92
20200606_Q18_iPSC_grid1_square18_tomo00045__bin4.hdf,0,120,30,42,54,66,78
20200606_Q18_iPSC_grid1_square18_tomo00046__bin4.hdf,0,75,28,34,40,46,52
20200606_Q18_iPSC_grid1_square18_tomo00048__bin4.hdf,15,128,40,53,66,79,92
20200606_Q18_iPSC_grid1_square5_tomo00022__bin4.hdf,0,115,24,42,60,78,96
20200606_Q18_iPSC_grid1_square5_tomo00023__bin4.hdf,30,128,64,77,90,103,116
20200606_Q18_iPSC_grid1_square7_tomo00019__bin4.hdf,40,128,71,85,99,113,127
20200606_Q18_iPSC_grid1_square7_tomo00020__bin4.hdf,35,128,64,77,90,103,116
