tomo_name,z_min,z_max,slice_0,slice_1,slice_2,slice_3,slice_4
BACHD-DN17_Grid1_Square1_Tomo00002__bin4_healthy_mitochondria.hdf,0,128,20,40,60,80,100
BACHD-DN17_Grid1_Square1_Tomo00003__bin4_health_mitochondria.hdf,50,128,70,80,90,100,110
BACHD-DN17_Grid1_Square1_Tomo00005__bin4_mitochondria_medium_granules.hdf,10,110,30,45,60,75,90
BACHD-DN17_Grid1_Square1_Tomo00006__bin4_mitochondria_medium_granules.hdf,0,115,20,38,56,74,92
BACHD-DN17_Grid1_Square1_Tomo00007__bin4_mitochondria_medium_granule.hdf,0,115,20,38,56,74,92
BACHD-DN17_Grid1_Square1_Tomo00009__bin4_healyh_mitochondria.hdf,40,128,60,75,90,105,120
BACHD-DN17_Grid1_Square1_Tomo00010__bin4_mitochondria_with_medium_granules.hdf,12,122,40,55,70,85,100
BACHD-DN17_Grid1_Square1_Tomo00011__bin4_healthy_mitochondria.hdf,10,128,30,48,66,84,102
BACHD-DN17_Grid1_Square1_Tomo00019__bin4_mitochondria_with_medium_granules.hdf,73,128,91,100,109,118,127
BACHD-DN17_Grid1_Square1_Tomo00020__bin4_health_mitochondria.hdf,45,110,67,73,79,85,91
BACHD-DN17_Grid1_Square1_Tomo00022__bin4_mitochondria_with_medium_granules.hdf,45,128,73,86,99,112,125
BACHD-DN17_Grid1_Square1_Tomo00023__bin4_health_mitochondria.hdf,0,128,20,40,60,80,100
BACHD-DN17_Grid1_Square2_Tomo00001__bin4_Healthy_mitochondria.hdf,20,110,50,60,70,80,90
BACHD-DN17_Grid1_Square2_Tomo00002__bin4_healthy_mitofchondria.hdf,37,128,60,75,90,105,120
BACHD-DN17_Grid1_Square2_Tomo00003__bin4_abnormal_mitochondria.hdf,0,128,20,40,60,80,100
